Name;Families;;
Atampaya;Australian;;
Atauran;Austronesian;;
Atayal;Austronesian;;
Ateso;Nilo-Saharan;;
Athpariya;Sino-Tibetan;;
Ati;Austronesian;;
Atikamekw;Algic;;
Atin;Austronesian;;
Atohwaim;Trans-New Guinea;;
Atong;Niger-Congo;;
Atong;Sino-Tibetan;;
Atorada;Maipurean;;
Atoro;Niger-Congo;;
Atsahuaca;Panoan;;
Atsam;Niger-Congo;;
Atsugewi;Palaihnihan;;
Atta, Faire;Austronesian;;
Atta, Pamplona;Austronesian;;
Atta, Pudtol;Austronesian;;
Attié;Niger-Congo;;
Au;Torricelli;;
Aukan;Creole;;
Aulua;Austronesian;;
Aurá;Tupian;;
Aushi;Niger-Congo;;
Aushiri;Language isolate;;
Austral;Austronesian;;
Auwe;Border;;
Auye;Trans-New Guinea;;
Auyokawa;Afro-Asiatic;;
Auyu, Central;Trans-New Guinea;;
Avá-Canoeiro;Tupian;;
Avar;Nakh-Daghestanian;;
Avatime;Niger-Congo;;
Avau;Austronesian;;
Avava;Austronesian;;
Avestan;Indo-European;;
Avikam;Niger-Congo;;
Avokaya;Nilo-Saharan;;
Avonnoh;Niger-Congo;;
Awa;Austro-Asiatic;;
Awa;Trans-New Guinea;;
Awa-Cuaiquer;Barbacoan;;
Awabakal;Australian;;
Awad Bing;Austronesian;;
Awadhi;Indo-European;;
Awajún;Jivaroan;;
Awak;Niger-Congo;;
Awakateko;Mayan;;
Awar;Ramu-Lower Sepik;;
Awara;Trans-New Guinea;;
Awbono;Bayono-Awbono;;
Aweer;Afro-Asiatic;;
Awera;Lakes Plain;;
Awetí;Tupian;;
Awing;Niger-Congo;;
Awishira;Unclassified;;
Awiyaana;Trans-New Guinea;;
Awjilah;Afro-Asiatic;;
Awngi;Afro-Asiatic;;
Awngthim;Australian;;
Awtuw;Sepik;;
Awu;Sino-Tibetan;;
Awun;Sepik;;
Awutu;Niger-Congo;;
Awyi;Border;;
Awyu, Asue;Trans-New Guinea;;
Awyu, Edera;Trans-New Guinea;;
Awyu, Jair;Trans-New Guinea;;
Awyu, North;Trans-New Guinea;;
Awyu, South;Trans-New Guinea;;
Axamb;Austronesian;;
Axi;Sino-Tibetan;;
Ayabadhu;Australian;;
Ayerrerenge;Australian;;
Ayi;Sepik;;
Ayizi;Sino-Tibetan;;
Aymara, Central;Aymaran;;
Aymara, Southern;Aymaran;;
Ayoreo;Zamucoan;;
Ayta, Abellen;Austronesian;;
Ayta, Ambala;Austronesian;;
Ayta, Mag-antsi;Austronesian;;
Ayta, Mag-Indi;Austronesian;;
Ayta, Magbukun;Austronesian;;
Ayta, Sorsogon;Austronesian;;
Ayu;Niger-Congo;;
Azerbaijani, North;Turkic;;
Azerbaijani, South;Turkic;;
Azha;Sino-Tibetan;;
Azhe;Sino-Tibetan;;
Aziana;Trans-New Guinea;;
ǁAni;Khoe-Kwadi;;
ǂ’Amkhoe;Kx’a;;
Baan;Niger-Congo;;
Baangi;Niger-Congo;;
Baatonum;Niger-Congo;;
Babango;Niger-Congo;;
Babanki;Niger-Congo;;
Babar, North;Austronesian;;
Babar, Southeast;Austronesian;;
Babatana;Austronesian;;
Babine;Eyak-Athabaskan;;
Babuza;Austronesian;;
Bacama;Afro-Asiatic;;
Bada;Austronesian;;
Badaga;Dravidian;;
Bade;Afro-Asiatic;;
Badeshi;Indo-European;;
Badimaya;Australian;;
Badjiri;Australian;;
Baduy;Austronesian;;
Badyara;Niger-Congo;;
Baeggu;Austronesian;;
Baelelea;Austronesian;;
Baetora;Austronesian;;
Bafaw-Balong;Niger-Congo;;
Bafia;Niger-Congo;;
Bafut;Niger-Congo;;
Baga Kaloum;Niger-Congo;;
Baga Koga;Niger-Congo;;
Baga Manduri;Niger-Congo;;
Baga Pokur;Niger-Congo;;
Baga Sitemu;Niger-Congo;;
Baga Sobané;Niger-Congo;;
Bagheli;Indo-European;;
Bagirmi;Nilo-Saharan;;
Bago-Kusuntu;Niger-Congo;;
Bagobo-Klata;Austronesian;;
Bagri;Indo-European;;
Bagupi;Trans-New Guinea;;
Bagusa;Tor-Kwerba;;
Bagvalal;Nakh-Daghestanian;;
Baham;Trans-New Guinea;;
Bahamas English Creole;Creole;;
Bahau;Austronesian;;
Bahinemo;Sepik;;
Bahing;Sino-Tibetan;;
Bahnar;Austro-Asiatic;;
Bahonsuai;Austronesian;;
Bai;Niger-Congo;;
Bai, Central;Sino-Tibetan;;
Bai, Lama;Sino-Tibetan;;
Bai, Panyi;Sino-Tibetan;;
Bai, Southern;Sino-Tibetan;;
Baibai;Fas;;
Baikeno;Austronesian;;
Baima;Sino-Tibetan;;
Baimak;Trans-New Guinea;;
Bainouk-Gunyaamolo;Niger-Congo;;
Bainouk-Gunyuño;Niger-Congo;;
Bainouk-Samik;Niger-Congo;;
Baiso;Afro-Asiatic;;
Baiyamo;Sepik;;
Bajan;Creole;;
Bajau, Indonesian;Austronesian;;
Bajau, West Coast;Austronesian;;
Bajelani;Indo-European;;
Bajjika;Indo-European;;
Baka;Niger-Congo;;
Baka;Nilo-Saharan;;
Bakairí;Cariban;;
Bakaka;Niger-Congo;;
Bakati’;Austronesian;;
Bakati’, Rara;Austronesian;;
Bakati’, Sara;Austronesian;;
Bakhtiâri;Indo-European;;
Baki;Austronesian;;
Bakoko;Niger-Congo;;
Bakole;Niger-Congo;;
Bakumpai;Austronesian;;
Bakwé;Niger-Congo;;
Balaesang;Austronesian;;
Balangao;Austronesian;;
Balanta;Niger-Congo;;
Balanta-Ganja;Niger-Congo;;
Balantak;Austronesian;;
Baldemu;Afro-Asiatic;;
Balen;Austronesian;;
Bali;Austronesian;;
Bali;Niger-Congo;;
Bali;Niger-Congo;;
Balkan Gagauz Turkish;Turkic;;
Balo;Niger-Congo;;
Balochi, Eastern;Indo-European;;
Balochi, Southern;Indo-European;;
Balochi, Western;Indo-European;;
Baloi;Niger-Congo;;
Balti;Sino-Tibetan;;
Bamanankan;Niger-Congo;;
Bambam;Austronesian;;
Bambili-Bambui;Niger-Congo;;
Bamu;Trans-New Guinea;;
Bamun;Niger-Congo;;
Bana;Afro-Asiatic;;
Banam Bay;Austronesian;;
Banda;Austronesian;;
Banda-Bambari;Niger-Congo;;
Banda-Banda;Niger-Congo;;
Banda-Mbrès;Niger-Congo;;
Banda-Ndélé;Niger-Congo;;
Banda-Yangere;Niger-Congo;;
Banda, Mid-Southern;Niger-Congo;;
Banda, South Central;Niger-Congo;;
Banda, Togbo-Vara;Niger-Congo;;
Banda, West Central;Niger-Congo;;
Bandi;Niger-Congo;;
Bandial;Niger-Congo;;
Bandjalang;Australian;;
Bangala;Niger-Congo;;
Bangandu;Niger-Congo;;
Bangba;Niger-Congo;;
Banggai;Austronesian;;
Bangi;Niger-Congo;;
Bangime;Language isolate;;
Bangka;Austronesian;;
Bangon;Austronesian;;
Bangubangu;Niger-Congo;;
Bangwinji;Niger-Congo;;
Baniva;Maipurean;;
Baniwa;Maipurean;;
Banjar;Austronesian;;
Bankagooma;Niger-Congo;;
Bankal;Niger-Congo;;
Bankon;Niger-Congo;;
Bannoni;Austronesian;;
Bantawa;Sino-Tibetan;;
Bantayanon;Austronesian;;
Bantik;Austronesian;;
Bantoanon;Austronesian;;
Banyjima;Australian;;
Baoulé;Niger-Congo;;
Barababaraba;Australian;;
Barai;Trans-New Guinea;;
Barakai;Austronesian;;
Baram;Sino-Tibetan;;
Barama;Niger-Congo;;
Barambu;Niger-Congo;;
Baramu;Trans-New Guinea;;
Barapasi;East Geelvink Bay;;
Baras;Austronesian;;
Barasana-Eduria;Tucanoan;;
Barbaram;Australian;;
Barbareño;Chumashan;;
Bardi;Australian;;
Baré;Maipurean;;
Barein;Afro-Asiatic;;
Bareli, Palya;Indo-European;;
Bareli, Pauri;Indo-European;;
Bareli, Rathwi;Indo-European;;
Bargam;Trans-New Guinea;;
Bari;Nilo-Saharan;;
Barí;Chibchan;;
Bariai;Austronesian;;
Bariji;Trans-New Guinea;;
Barikanchi;Pidgin;;
Barikewa;Trans-New Guinea;;
Barngarla;Australian;;
Barok;Austronesian;;
Barombi;Niger-Congo;;
Barrow Point;Australian;;
Baruga;Trans-New Guinea;;
Barwe;Niger-Congo;;
Barzani-Sandu Jewish Neo-Aramaic;Afro-Asiatic;;
Basa;Niger-Congo;;
Basa-Gumna;Niger-Congo;;
Basa-Gurmana;Niger-Congo;;
Basaa;Niger-Congo;;
Basap;Austronesian;;
Basay;Austronesian;;
Bashkardi;Indo-European;;
Bashkort;Turkic;;
Basketo;Afro-Asiatic;;
Basque;Language isolate;;
Bassa;Niger-Congo;;
Bassa-Kontagora;Niger-Congo;;
Bassossi;Niger-Congo;;
Bata;Afro-Asiatic;;
Batak;Austronesian;;
Batak Alas-Kluet;Austronesian;;
Batak Angkola;Austronesian;;
Batak Dairi;Austronesian;;
Batak Karo;Austronesian;;
Batak Mandailing;Austronesian;;
Batak Simalungun;Austronesian;;
Batak Toba;Austronesian;;
Batanga;Niger-Congo;;
Batek;Austro-Asiatic;;
Bateri;Indo-European;;
Bathari;Afro-Asiatic;;
Bati;Austronesian;;
Bati;Niger-Congo;;
Bats;Nakh-Daghestanian;;
Batu;Niger-Congo;;
Batui;Austronesian;;
Bauchi;Niger-Congo;;
Bauni;Skou;;
Baure;Maipurean;;
Bauria;Indo-European;;
Bauro;Austronesian;;
Bauwaki;Trans-New Guinea;;
Bauzi;East Geelvink Bay;;
Bavarian;Indo-European;;
Bay Miwok;Miwok-Costanoan;;
Bayali;Australian;;
Baybayanon;Austronesian;;
Baygo;Nilo-Saharan;;
Bayono;Bayono-Awbono;;
Bayot;Niger-Congo;;
Bayungu;Australian;;
Bazigar;Indo-European;;
Beaver;Eyak-Athabaskan;;
Beba;Niger-Congo;;
Bebele;Niger-Congo;;
Bebeli;Austronesian;;
Bebil;Niger-Congo;;
Bedamuni;Trans-New Guinea;;
Bedawiyet;Afro-Asiatic;;
Bedjond;Nilo-Saharan;;
Bedoanas;Austronesian;;
Beeke;Niger-Congo;;
Beele;Afro-Asiatic;;
Beembe;Niger-Congo;;
Beezen;Niger-Congo;;
Befang;Niger-Congo;;
Beginci;Austronesian;;
Behoa;Austronesian;;
Bekwarra;Niger-Congo;;
Bekwel;Niger-Congo;;
Belait;Austronesian;;
Belanda Bor;Nilo-Saharan;;
Belanda Viri;Niger-Congo;;
Belarusian;Indo-European;;
Belhariya;Sino-Tibetan;;
Beli;Nilo-Saharan;;
Beli;Torricelli;;
Belize English Creole;Creole;;
Bella Coola;Salish;;
Bellari;Dravidian;;
Belning;Afro-Asiatic;;
Bemba;Niger-Congo;;
Bembe;Niger-Congo;;
Bena;Niger-Congo;;
Bena;Niger-Congo;;
Benabena;Trans-New Guinea;;
Benamanga;Niger-Congo;;
Bench;Afro-Asiatic;;
Bende;Niger-Congo;;
Bendi;Nilo-Saharan;;
Beneraf;Tor-Kwerba;;
Beng;Niger-Congo;;
Benga;Niger-Congo;;
Bengali;Indo-European;;
Benggoi;Austronesian;;
Bentong;Austronesian;;
Benyadu’;Austronesian;;
Beothuk;Unclassified;;
Bepour;Trans-New Guinea;;
Berakou;Nilo-Saharan;;
Berawan, Central;Austronesian;;
Berawan, East;Austronesian;;
Berawan, West;Austronesian;;
Berbice Dutch Creole;Creole;;
Berik;Tor-Kwerba;;
Berinomo;Sepik;;
Bermejo Wichí;Matacoan;;
Berom;Niger-Congo;;
Berta;Nilo-Saharan;;
Berti;Nilo-Saharan;;
Besme;Niger-Congo;;
Betaf;Tor-Kwerba;;
Betawi;Creole;;
Bete;Niger-Congo;;
Bete-Bendi;Niger-Congo;;
Bété, Daloa;Niger-Congo;;
Bété, Gagnoa;Niger-Congo;;
Bété, Guiberoua;Niger-Congo;;
Beti;Niger-Congo;;
Bezhta;Nakh-Daghestanian;;
Bhadrawahi;Indo-European;;
Bhalay;Indo-European;;
Bharia;Dravidian;;
Bhatri;Indo-European;;
Bhattiyali;Indo-European;;
Bhaya;Indo-European;;
Bhele;Niger-Congo;;
Bhilali;Indo-European;;
Bhili;Indo-European;;
Bhogoto;Niger-Congo;;
Bhojpuri;Indo-European;;
Bhujel;Sino-Tibetan;;
Bhunjia;Indo-European;;
Biafada;Niger-Congo;;
Biage;Trans-New Guinea;;
Biak;Austronesian;;
Biali;Niger-Congo;;
Biangai;Trans-New Guinea;;
Biao;Kra-Dai;;
Biao Mon;Hmong-Mien;;
Biao-Jiao Mien;Hmong-Mien;;
Biate;Sino-Tibetan;;
Bibbulman;Australian;;
Bidayuh Serian;Austronesian;;
Bidayuh, Bau;Austronesian;;
Bidayuh, Biatah;Austronesian;;
Bidayuh, Tringgus-Sembaan;Austronesian;;
Bidhawal;Australian;;
Bidiyo;Afro-Asiatic;;
Bidjara;Australian;;
Biem;Austronesian;;
Bierebo;Austronesian;;
Bieria;Austronesian;;
Biga;Austronesian;;
Bigambal;Australian;;
Bih;Austronesian;;
Bijagó;Niger-Congo;;
Bijim;Niger-Congo;;
Bijori;Austro-Asiatic;;
Bikol, Buhi’non;Austronesian;;
Bikol, Central;Austronesian;;
Bikol, Libon;Austronesian;;
Bikol, Miraya;Austronesian;;
Bikol, Northern Catanduanes;Austronesian;;
Bikol, Rinconada;Austronesian;;
Bikol, Southern Catanduanes;Austronesian;;
Bikol, West Albay;Austronesian;;
Bikya;Niger-Congo;;
Bila;Niger-Congo;;
Bilaspuri;Indo-European;;
Bilba;Austronesian;;
Bilbil;Austronesian;;
Bilen;Afro-Asiatic;;
Bille;Niger-Congo;;
Biloxi;Siouan-Catawban;;
Bilua;Central Solomons;;
Bima;Austronesian;;
Bimin;Trans-New Guinea;;
Bimoba;Niger-Congo;;
Bina;Austronesian;;
Bina;Niger-Congo;;
Binahari;Trans-New Guinea;;
Binandere;Trans-New Guinea;;
Bindal;Australian;;
Bindji;Niger-Congo;;
